title,author,album,url,score
Малиновый закат,Max Korzh,"Малый повзрослел, Ч. 2",https://open.spotify.com/track/2fP2RBX81C55kEBaHZHomY,
POWER,Kanye West,My Beautiful Dark Twisted Fantasy,https://open.spotify.com/track/2gZUPNdnz5Y45eiGxpHGSc,
Ex's And Oh's,Saddle Up,Pitch Perfect 3 (Original Motion Picture Soundtrack),https://open.spotify.com/track/2hhuPr2R8aylJxyTEnjOWQ,
Gorzałka zawsze dobra jest,"A'Vista, Sylwester Marciński",Biesiada z procentem (No to siup!),https://open.spotify.com/track/2jFnYINfiravlUCgl7osel,
Twoje oczy lubią mnie,Strachy Na Lachy,Dodekafonia,https://open.spotify.com/track/2k9KGkKgBNVWoCQDU197sp,
Balans,"Paluch, Słoń",Czerwony Dywan,https://open.spotify.com/track/2kJ45danEDdh4BqGPgoCbX,
Boso,Zakopower,Boso,https://open.spotify.com/track/2kcQMkj0nztimTpqWlVrof,
Głucha noc,"Peja, Slums Attack, Medi Top Glon, Mientha",20/20 Evergreen,https://open.spotify.com/track/2kj7OFRtWj9bkm8jqnT2EY,
Euphoria,Loreen,Heal,https://open.spotify.com/track/2knr7ikPt4l7bk92qS4ZXW,
Raz koniaczek,"Artur Plichta, A'Vista","Tanga i walce, Vol. 7",https://open.spotify.com/track/2m1Hm4OS0XCX6rA7fn7WK7,
Wódko ma,"A'Vista, Sylwester Marciński",Biesiada z procentem (No to siup!),https://open.spotify.com/track/2mOBDXwbGK3iU52hKVNm1m,
Kurdesz nad kurdeszami,"A'Vista, Barbara Pliszka","Tanga i walce, Vol. 6",https://open.spotify.com/track/2mkK8v8XWRLReXLj6JuuRZ,
Pierwsza Bitwa,Trzy Maszty,Pierwsza Bitwa,https://open.spotify.com/track/2n7syUvKap8RfXOkBG9dnx,
Summer Jam - Video Edit,"R.I.O., U-Jean",Ready Or Not,https://open.spotify.com/track/2nqexxpzq5y8AZm3SRylUo,
Niedopowiedzenia,"Czarny HIFI, Pezet",Niedopowiedzenia,https://open.spotify.com/track/2nrgOEtV9AZn6oDzbV3uMq,
Młoda krew,"ZBUKU, Sliwa, Sztoss",Życie szalonym życiem,https://open.spotify.com/track/2oV7CNpUubcUEudcK3vuXG,
Jabdah,Koto,80s Hit News,https://open.spotify.com/track/2p27tkQVe5wB5CjtvIuSh9,
Cytryny,"VNM, W.E.N.A.",Cytryny,https://open.spotify.com/track/2q6hyKDjZYE7VeHKGaM5Zz,
Młodszy Brat's Life,Młodszy Brat,Młodsze Flow Mixtape,https://open.spotify.com/track/2qGzVITXXTChcyIjGqG7bn,
Wakacyjne pierdolenie twojej starej na basenie,Kuki,Wakacyjne pierdolenie twojej starej na basenie,https://open.spotify.com/track/2qIqHjtoqPuwsfJhtXUCc7,
Good as Hell (feat. Ariana Grande),"Lizzo, Ariana Grande",Cuz I Love You (Super Deluxe),https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq,
Miasto Budzi Się - 2014 Remastered,"Yugopolis, Pawel Kukiz",The Best Of Yugopolis (Maleńczuk / Kukiz / Piekarczyk / Muniek I Inni),https://open.spotify.com/track/2sHFV00P5A3QiLsDLeb24B,
